site,year,season,n_days,mean_mda8,p90_mda8
前金,2019,summer,92,30.980046583850914,53.008749999999985
前金,2019,winter,90,54.564947089947076,72.48374999999999
前金,2020,autumn,91,65.6151687598116,80.44999999999999
前金,2020,spring,92,55.234329710144905,79.80749999999999
前金,2020,summer,92,31.810442546583836,51.93785714285713
前金,2020,winter,91,53.71363160648874,70.71249999999999
前金,2021,autumn,91,55.033379120879104,77.08749999999999
前金,2021,spring,92,52.14237189440992,74.30499999999999
前金,2021,summer,92,32.49313535196686,44.63714285714284
前金,2021,winter,90,55.31880952380951,71.97250000000001
前金,2022,autumn,91,61.25009811616953,73.21249999999999
前金,2022,spring,87,51.780829228243014,75.24785714285714
前金,2022,summer,92,29.571525621118,48.51696428571428
前金,2022,winter,90,47.37573412698411,60.94374999999999
前金,2023,autumn,91,55.95141941391941,73.25
前金,2023,spring,92,58.68508022774326,74.22625
前金,2023,summer,92,31.02588638716356,47.77178571428571
前金,2023,winter,90,49.70287037037037,64.4225
前金,2024,autumn,91,47.03958006279434,61.2375
前金,2024,spring,92,53.05461309523809,77.37660714285715
前金,2024,summer,92,32.454613095238095,50.29857142857143
前金,2024,winter,91,51.21296441653585,64.88571428571427
前金,2025,autumn,91,50.57032312925168,65.96249999999999
前金,2025,spring,92,48.89457815734989,72.08125
前金,2025,summer,92,34.87181677018632,54.63624999999999
前金,2025,winter,90,48.324398148148134,61.2575
前鎮,2018,autumn,91,56.13657116692831,73.47500000000001
前鎮,2018,spring,92,43.909290890269155,65.50125
前鎮,2018,summer,91,30.92817242281528,46.5625
前鎮,2018,winter,90,44.66846560846561,60.879999999999995
前鎮,2019,autumn,91,61.57793694400838,78.95
前鎮,2019,spring,92,47.379211956521736,67.81375000000001
前鎮,2019,summer,92,26.737480590062116,47.657500000000006
前鎮,2019,winter,90,47.49107804232804,61.115833333333356
前鎮,2020,autumn,91,58.523462846677134,72.1375
前鎮,2020,spring,92,49.21785067287784,70.53249999999998
前鎮,2020,summer,92,27.07306547619047,45.42875
前鎮,2020,winter,91,48.50366954474097,63.63749999999999
前鎮,2021,autumn,91,50.44778911564625,69.375
前鎮,2021,spring,92,46.50955615942029,67.125
前鎮,2021,summer,92,26.97217908902691,37.23124999999999
前鎮,2021,winter,90,49.108154761904764,65.25125
前鎮,2022,autumn,91,55.27683804290946,68.76249999999999
前鎮,2022,spring,92,48.08070005175983,69.8925
前鎮,2022,summer,92,25.286930641821936,45.04517857142857
前鎮,2022,winter,90,43.58623015873015,55.22624999999999
前鎮,2023,autumn,91,51.733431449502866,69.04285714285713
前鎮,2023,spring,92,52.963425207039336,67.43249999999999
前鎮,2023,summer,92,28.47291666666666,44.34625
前鎮,2023,winter,90,45.20993386243386,59.4375
前鎮,2024,autumn,91,47.19128074306645,66.125
前鎮,2024,spring,92,49.15432194616977,72.64880952380952
前鎮,2024,summer,92,29.556133540372663,47.61000000000001
前鎮,2024,winter,91,48.39063971742542,61.14999999999999
前鎮,2025,autumn,91,47.85376766091052,63.2
前鎮,2025,spring,92,47.47157738095238,69.30375000000001
前鎮,2025,summer,92,33.180480072463766,52.355000000000004
前鎮,2025,winter,90,47.34820767195767,60.462500000000006
大寮,2018,autumn,91,59.37969649398221,80.22500000000001
大寮,2018,spring,92,49.603325569358184,75.54250000000002
大寮,2018,summer,92,34.535397256728785,52.720000000000006
大寮,2018,winter,90,50.162076719576724,69.79041666666667
大寮,2019,autumn,91,63.7437074829932,83.6375
大寮,2019,spring,92,49.2939182194617,70.20125
大寮,2019,summer,92,30.958197463768116,47.608928571428585
大寮,2019,winter,90,50.48068783068783,66.115
大寮,2020,autumn,91,61.34196755625327,77.41250000000001
大寮,2020,spring,92,50.91831651138717,71.69041666666668
大寮,2020,summer,92,33.009769668737064,50.17500000000001
大寮,2020,winter,91,51.55220434327577,67.275
大寮,2021,autumn,91,51.203891941391944,67.4375
大寮,2021,spring,92,49.639460403726716,75.23625000000003
大寮,2021,summer,92,29.96960403726709,40.908750000000005
大寮,2021,winter,90,53.58470238095239,68.86250000000001
大寮,2022,autumn,91,55.98279042386185,70.9875
大寮,2022,spring,92,47.29754140786749,68.36500000000001
大寮,2022,summer,92,29.12082686335404,44.67750000000001
大寮,2022,winter,86,45.670736434108534,61.96875000000001
大寮,2023,autumn,91,51.15007195185767,67.9625
大寮,2023,spring,92,54.57311076604555,70.2644642857143
