site,season,hour,mean_o3,p90_o3,n_hours
復興,autumn,12,56.78629148629149,79.38000000000001,693
復興,autumn,13,57.01241084165478,80.7,701
復興,autumn,14,55.32796005706134,77.8,701
復興,autumn,15,52.47623066104079,74.7,711
復興,autumn,16,48.8253164556962,69.4,711
復興,autumn,17,44.354674220963176,64.19999999999999,706
復興,autumn,18,40.01187150837989,60.2,716
復興,autumn,19,36.181589958158995,56.239999999999995,717
復興,autumn,20,33.19693165969317,53.739999999999995,717
復興,autumn,21,29.426286509040334,50.24000000000001,719
復興,autumn,22,27.307093184979138,47.8,719
復興,autumn,23,25.776592797783934,45.18,722
復興,spring,0,24.987039563437925,44.64000000000002,733
復興,spring,1,24.474965800273598,44.9,731
復興,spring,2,23.671798365122616,42.41000000000002,734
復興,spring,3,22.762534059945505,40.8,734
復興,spring,4,22.099726775956285,39.5,732
復興,spring,5,20.33707250341997,38.1,731
復興,spring,6,18.101494565217394,33.05,736
復興,spring,7,19.246467391304346,34.75,736
復興,spring,8,25.58606557377049,43.88999999999999,732
復興,spring,9,32.46224350205198,52.1,731
復興,spring,10,39.61400282885431,61.44,707
復興,spring,11,45.356891495601175,71.19,682
復興,spring,12,49.21241084165478,75.3,701
復興,spring,13,49.69631728045326,74.95,706
復興,spring,14,48.768220338983056,73.89000000000001,708
復興,spring,15,46.8123595505618,71.58999999999999,712
復興,spring,16,44.119166666666665,68.81,720
復興,spring,17,40.60829875518672,64.94000000000003,723
復興,spring,18,36.91870701513068,61.1,727
復興,spring,19,33.83689986282579,57.360000000000014,729
復興,spring,20,31.435342465753422,54.0,730
復興,spring,21,28.14595336076818,49.42,729
復興,spring,22,26.502739726027396,47.0,730
復興,spring,23,25.644945355191254,46.08,732
復興,summer,0,15.679781420765028,26.779999999999998,732
復興,summer,1,15.381173260572988,27.08000000000001,733
復興,summer,2,15.010792349726776,26.7,732
復興,summer,3,14.603673469387756,26.8,735
復興,summer,4,14.052789115646258,25.96,735
復興,summer,5,13.19658469945355,23.94999999999999,732
復興,summer,6,12.749795918367347,22.7,735
復興,summer,7,14.404761904761905,23.26,735
復興,summer,8,18.225991792065663,29.1,731
復興,summer,9,22.31354309165527,36.3,731
復興,summer,10,26.67566807313643,45.7,711
復興,summer,11,29.49884892086331,53.56,695
復興,summer,12,30.569527896995705,54.08000000000002,699
復興,summer,13,29.65819209039548,51.3,708
復興,summer,14,27.965682137834033,47.9,711
復興,summer,15,25.65,42.8,710
復興,summer,16,23.454545454545453,40.28000000000001,715
復興,summer,17,21.06648275862069,35.92,725
復興,summer,18,18.416323731138547,33.0,729
復興,summer,19,16.978983516483517,31.1,728
復興,summer,20,16.653038674033148,30.640000000000008,724
復興,summer,21,15.641931034482758,28.660000000000004,725
復興,summer,22,15.283150684931508,27.660000000000014,730
復興,summer,23,15.507377049180327,27.889999999999997,732
復興,winter,0,15.657142857142858,27.8,714
復興,winter,1,15.657342657342657,27.360000000000003,715
復興,winter,2,15.861871508379888,27.7,716
復興,winter,3,16.162025316455697,28.2,711
復興,winter,4,15.944507042253521,28.0,710
復興,winter,5,14.49675141242938,25.430000000000007,708
復興,winter,6,11.496363636363636,21.7,715
復興,winter,7,9.508460471567268,18.6,721
復興,winter,8,12.881145251396648,22.8,716
復興,winter,9,20.619607843137253,34.88000000000002,714
復興,winter,10,29.881507823613088,45.78000000000001,703
復興,winter,11,38.222401171303076,54.6,683
復興,winter,12,46.8992795389049,64.1,694
復興,winter,13,51.94582132564842,70.07000000000001,694
復興,winter,14,52.390201729106636,70.61000000000001,694
復興,winter,15,50.32410841654779,67.0,701
復興,winter,16,46.10014084507042,62.6,710
復興,winter,17,39.26166902404526,57.54,707
復興,winter,18,32.250350631136044,51.18000000000001,713
復興,winter,19,27.17335203366059,44.860000000000014,713
復興,winter,20,23.14783821478382,37.779999999999994,717
復興,winter,21,18.97632311977716,31.780000000000044,718
復興,winter,22,16.480613668061366,28.5,717
復興,winter,23,15.752587412587413,27.8,715
林園,autumn,0,26.678382147838217,46.9,717
林園,autumn,1,23.16694560669456,40.5,717
林園,autumn,2,20.600279329608938,35.0,716
林園,autumn,3,18.88281690140845,31.610000000000003,710
林園,autumn,4,17.365487977369163,29.519999999999992,707
林園,autumn,5,15.511078717201167,26.85,686
林園,autumn,6,14.994305555555554,25.8,720
林園,autumn,7,18.553259361997224,28.5,721
林園,autumn,8,28.620336605890603,41.9,713
林園,autumn,9,42.38076379066478,60.14,707
林園,autumn,10,54.0758064516129,75.5,682
林園,autumn,11,63.06666666666667,89.9,666
林園,autumn,12,67.23883211678832,95.88000000000002,685
林園,autumn,13,67.0850144092219,94.7,694
林園,autumn,14,64.2356936416185,91.12999999999998,692
林園,autumn,15,60.89886201991465,85.94000000000003,703
林園,autumn,16,57.26008462623413,81.22000000000001,709
林園,autumn,17,53.86278089887641,77.05999999999999,712
林園,autumn,18,50.07723463687151,72.55,716
林園,autumn,19,45.64930555555556,68.3,720
林園,autumn,20,41.6593837535014,64.37,714
林園,autumn,21,37.78840782122905,61.2,716
林園,autumn,22,34.04741258741259,57.160000000000004,715
林園,autumn,23,29.9836820083682,51.839999999999996,717
林園,spring,0,27.980544217687076,46.82000000000001,735
林園,spring,1,25.231198910081744,42.4,734
林園,spring,2,22.674114441416894,38.17000000000001,734
林園,spring,3,20.543460490463215,35.67000000000001,734
林園,spring,4,18.961035422343326,34.14000000000001,734
林園,spring,5,17.482554945054943,31.690000000000023,728
林園,spring,6,17.35353260869565,30.8,736
林園,spring,7,21.93795918367347,35.46,735
林園,spring,8,30.514383561643836,46.42,730
林園,spring,9,40.22971114167813,61.04,727
林園,spring,10,48.71454802259887,74.83000000000001,708
林園,spring,11,54.179797979797975,82.9,693
林園,spring,12,56.87296137339055,86.64,699
林園,spring,13,56.86442857142857,85.82000000000001,700
林園,spring,14,54.88482269503547,82.52000000000001,705
林園,spring,15,52.56370056497175,79.73,708
林園,spring,16,50.26606648199446,76.99,722
林園,spring,17,47.19821182943603,73.44,727
林園,spring,18,43.96302864938609,70.08,733
林園,spring,19,40.902194787379976,65.76000000000002,729
林園,spring,20,38.58651226158038,62.970000000000006,734
林園,spring,21,36.03474114441417,59.14000000000001,734
林園,spring,22,33.506147540983605,56.38999999999999,732
林園,spring,23,30.666621253405992,53.1,734
林園,summer,0,18.072954230235784,29.7,721
林園,summer,1,16.792926490984744,28.3,721
林園,summer,2,15.614226519337018,27.670000000000005,724
林園,summer,3,14.316459197786997,26.860000000000014,723
林園,summer,4,13.475732217573222,26.819999999999993,717
林園,summer,5,13.412889518413598,27.25,706
林園,summer,6,14.08595041322314,26.85,726
林園,summer,7,17.97707182320442,28.0,724
林園,summer,8,23.82871148459384,34.2,714
林園,summer,9,29.801823281907435,43.860000000000014,713
林園,summer,10,34.66878612716763,56.38999999999999,692
林園,summer,11,36.5057268722467,63.8,681
林園,summer,12,35.846569343065696,61.540000000000006,685
林園,summer,13,34.532323232323236,59.74000000000005,693
林園,summer,14,32.45580029368576,52.5,681
林園,summer,15,30.860173160173158,48.1,693
林園,summer,16,29.112305516265913,44.81999999999999,707
林園,summer,17,27.97359550561798,43.1,712
林園,summer,18,26.587343532684283,40.720000000000006,719
林園,summer,19,25.217036011080335,38.669999999999995,722
林園,summer,20,24.005955678670357,36.38999999999999,722
林園,summer,21,22.6828729281768,34.67000000000001,724
林園,summer,22,21.112083333333334,33.73000000000001,720
林園,summer,23,19.479916897506925,30.889999999999997,722
林園,winter,0,16.64965034965035,29.76,715
林園,winter,1,15.487096774193548,26.78000000000001,713
林園,winter,2,14.63375350140056,25.6,714
林園,winter,3,13.985169491525424,24.930000000000007,708
林園,winter,4,13.555524079320115,24.75,706
林園,winter,5,12.972017045454544,23.070000000000004,704
林園,winter,6,11.596787709497205,21.2,716
林園,winter,7,12.551253481894149,21.330000000000005,718
林園,winter,8,17.80532959326788,27.58000000000001,713
林園,winter,9,28.21638418079096,43.66000000000001,708
林園,winter,10,39.63766233766234,59.38,693
林園,winter,11,48.6467958271237,70.7,671
林園,winter,12,56.55065502183407,78.8,687
林園,winter,13,61.532467532467535,84.96000000000001,693
林園,winter,14,61.723252496433666,84.1,701
林園,winter,15,59.15282485875706,79.66000000000001,708
林園,winter,16,54.6468619246862,75.58,717
林園,winter,17,49.09943977591036,70.7,714
林園,winter,18,42.96206415620642,66.24,717
林園,winter,19,37.315202231520225,60.2,717
林園,winter,20,31.384357541899444,52.9,716
林園,winter,21,26.108089260808924,45.8,717
林園,winter,22,22.13389121338912,38.6,717
林園,winter,23,18.948739495798318,33.040000000000006,714
楠梓,autumn,0,20.240611961057024,34.120000000000005,719
楠梓,autumn,1,19.05202231520223,31.5,717
楠梓,autumn,2,17.75263888888889,30.720000000000002,720
楠梓,autumn,3,16.54796633941094,28.880000000000006,713
楠梓,autumn,4,14.68661971830986,25.91,710
楠梓,autumn,5,11.60965909090909,21.410000000000014,704
楠梓,autumn,6,9.778541374474054,19.0,713
楠梓,autumn,7,13.482614742698193,23.2,719
楠梓,autumn,8,24.441759776536312,38.9,716
楠梓,autumn,9,37.73491620111732,56.7,716
楠梓,autumn,10,49.989001447178005,72.0,691
楠梓,autumn,11,58.89016152716593,82.1,681
楠梓,autumn,12,63.08721264367816,87.95,696
楠梓,autumn,13,62.332107496463934,86.5,707
楠梓,autumn,14,59.770343839541546,82.23,698
楠梓,autumn,15,56.82787356321839,78.1,696
楠梓,autumn,16,52.1756062767475,73.0,701
楠梓,autumn,17,46.27821782178218,66.17999999999999,707
楠梓,autumn,18,41.13099579242637,61.3,713
楠梓,autumn,19,37.127208976157085,57.26000000000001,713
楠梓,autumn,20,32.54452247191011,51.989999999999995,712
楠梓,autumn,21,28.621438645980252,45.34,709
楠梓,autumn,22,25.074330042313118,40.9,709
楠梓,autumn,23,22.10613668061367,36.339999999999996,717
楠梓,spring,0,22.48712328767123,37.910000000000004,730
楠梓,spring,1,21.171643835616436,36.8,730
楠梓,spring,2,19.977229080932783,34.620000000000005,729
楠梓,spring,3,18.424726775956284,32.779999999999994,732
楠梓,spring,4,16.966438356164385,31.13000000000001,730
楠梓,spring,5,13.717099863201096,27.4,731
楠梓,spring,6,12.918878248974009,26.3,731
楠梓,spring,7,17.3178231292517,31.520000000000003,735
楠梓,spring,8,27.09549180327869,46.28999999999999,732
楠梓,spring,9,36.846776406035666,57.860000000000014,729
楠梓,spring,10,45.62296918767507,69.84000000000002,714
楠梓,spring,11,51.91125356125356,78.25999999999999,702
楠梓,spring,12,54.17362482369534,81.6,709
楠梓,spring,13,53.18100558659218,78.9,716
楠梓,spring,14,51.628973277074536,77.0,711
楠梓,spring,15,49.85371669004207,74.86000000000001,713
楠梓,spring,16,47.16597510373444,71.82000000000004,723
楠梓,spring,17,43.49369863013699,67.01,730
楠梓,spring,18,39.596438356164384,62.410000000000004,730
楠梓,spring,19,36.34328767123287,58.120000000000005,730
楠梓,spring,20,32.94379263301501,54.28000000000001,733
楠梓,spring,21,29.401222826086954,49.7,736
楠梓,spring,22,26.485538881309687,44.28000000000001,733
楠梓,spring,23,24.48379120879121,41.5,728
楠梓,summer,0,12.981693989071038,24.1,732
楠梓,summer,1,12.47683923705722,23.4,734
楠梓,summer,2,11.838555858310627,23.170000000000005,734
楠梓,summer,3,11.330054644808744,22.09,732
楠梓,summer,4,10.450889192886457,21.3,731
楠梓,summer,5,9.034562841530056,20.189999999999998,732
楠梓,summer,6,9.900820793433653,20.3,731
楠梓,summer,7,14.168809849521203,23.1,731
楠梓,summer,8,20.87893296853625,32.7,731
楠梓,summer,9,27.541103448275862,42.82000000000001,725
楠梓,summer,10,32.71584158415841,52.54,707
楠梓,summer,11,35.59825834542816,59.1,689
楠梓,summer,12,35.45726375176305,61.2,709
楠梓,summer,13,33.927336122733614,56.83999999999999,717
楠梓,summer,14,31.580878186968835,52.65,706
楠梓,summer,15,29.056320224719098,48.48,712
楠梓,summer,16,26.233931034482758,43.06,725
楠梓,summer,17,23.355418381344304,39.720000000000006,729
楠梓,summer,18,20.86547455295736,35.739999999999995,727
楠梓,summer,19,18.67770177838577,31.6,731
楠梓,summer,20,17.062362637362636,29.630000000000006,728
楠梓,summer,21,15.474104683195593,27.1,726
楠梓,summer,22,14.42344827586207,26.7,725
楠梓,summer,23,13.738598901098902,25.3,728
楠梓,winter,0,16.511944444444445,27.7,720
楠梓,winter,1,15.606527777777778,26.7,720
楠梓,winter,2,15.098326359832637,26.579999999999995,717
楠梓,winter,3,14.361603375527427,26.1,711
楠梓,winter,4,13.501692524682653,25.2,709
楠梓,winter,5,11.731428571428571,23.21,700
楠梓,winter,6,9.621408045977011,21.15,696
楠梓,winter,7,9.304329608938547,19.9,716
楠梓,winter,8,13.617385257301807,23.4,719
楠梓,winter,9,21.452027972027974,34.40000000000001,715
楠梓,winter,10,32.05416078984486,49.9,709
楠梓,winter,11,42.926,61.52,700
楠梓,winter,12,51.89147727272727,72.58000000000001,704
楠梓,winter,13,56.30400572246066,76.52000000000001,699
楠梓,winter,14,56.74322396576319,75.8,701
楠梓,winter,15,54.59568345323741,71.96000000000001,695
楠梓,winter,16,49.69264497878359,66.53999999999999,707
楠梓,winter,17,42.39355742296919,59.3,714
楠梓,winter,18,35.72282913165266,50.8,714
楠梓,winter,19,30.839275766016712,44.830000000000005,718
楠梓,winter,20,26.21891515994437,39.120000000000005,719
楠梓,winter,21,22.499442896935932,34.56000000000002,718
楠梓,winter,22,19.90348189415042,31.520000000000028,718
楠梓,winter,23,17.899584487534625,28.99,722
橋頭,autumn,0,19.60181058495822,32.13000000000001,718
橋頭,autumn,1,18.16138888888889,30.03000000000001,720
橋頭,autumn,2,16.883888888888887,28.2,720
橋頭,autumn,3,15.744677871148461,26.9,714
橋頭,autumn,4,14.272370266479664,24.9,713
橋頭,autumn,5,12.282443820224719,22.09,712
橋頭,autumn,6,10.36593103448276,19.820000000000004,725
橋頭,autumn,7,13.9060773480663,22.9,724
橋頭,autumn,8,24.71367403314917,38.77,724
橋頭,autumn,9,37.85847222222222,56.4,720
橋頭,autumn,10,49.857325746799425,70.86000000000001,703
橋頭,autumn,11,58.31722141823444,81.4,691
橋頭,autumn,12,62.269985569985565,86.34000000000002,693
橋頭,autumn,13,61.48668555240793,84.35,706
橋頭,autumn,14,59.486103151862466,80.93,698
橋頭,autumn,15,56.52214285714286,77.72000000000001,700
橋頭,autumn,16,53.045621468926555,74.36000000000001,708
橋頭,autumn,17,47.504366197183096,69.01,710
橋頭,autumn,18,41.806872370266476,62.88,713
橋頭,autumn,19,36.977468706536854,57.3,719
橋頭,autumn,20,32.33933054393305,50.85999999999999,717
橋頭,autumn,21,28.12837273991655,45.34,719
橋頭,autumn,22,24.654242002781643,40.0,719
橋頭,autumn,23,21.8201668984701,35.7,719
橋頭,spring,0,21.68027397260274,37.21000000000001,730
橋頭,spring,1,20.297264021887823,34.8,731
橋頭,spring,2,19.028474114441416,33.58000000000002,734
橋頭,spring,3,17.92377049180328,31.58,732
橋頭,spring,4,16.70998632010944,30.8,731
橋頭,spring,5,14.864187327823691,28.65,726
橋頭,spring,6,13.656480218281038,25.2,733
橋頭,spring,7,18.148707482993196,31.96,735
橋頭,spring,8,27.225238744884035,45.580000000000005,733
橋頭,spring,9,36.524623803009575,57.2,731
橋頭,spring,10,45.32762430939226,69.32000000000004,724
橋頭,spring,11,51.181571428571424,76.3,700
橋頭,spring,12,53.449367088607595,78.4,711
橋頭,spring,13,52.92774647887324,77.32000000000001,710
橋頭,spring,14,51.58254189944134,76.05,716
橋頭,spring,15,50.31866295264624,74.16000000000001,718
橋頭,spring,16,47.967083333333335,71.71000000000001,720
橋頭,spring,17,44.38066298342541,67.54,724
橋頭,spring,18,40.18830811554333,61.839999999999996,727
橋頭,spring,19,36.175961538461536,57.2,728
橋頭,spring,20,32.86857923497268,52.379999999999995,732
橋頭,spring,21,29.38174386920981,47.370000000000005,734
橋頭,spring,22,26.315458276333786,43.1,731
