site,year,n_days,mean_mda8,median_mda8,p90_mda8,p95_mda8,max_mda8
橋頭,2022,365,45.039633072407035,45.62857142857142,66.50249999999998,70.66499999999999,91.71249999999998
橋頭,2023,364,47.08419021454734,48.32410714285713,66.52708333333332,70.50874999999999,89.17499999999998
橋頭,2024,365,45.88083333333332,47.14999999999999,65.02,70.2725,91.42499999999998
橋頭,2025,365,46.163558382257,47.08571428571428,64.7875,69.11749999999999,86.38749999999999
美濃,2018,365,50.730544683626874,50.8875,72.42,76.48666666666666,89.5
美濃,2019,364,48.59750130821559,49.26875,69.875,77.01354166666665,93.2
美濃,2020,366,51.21863940931563,51.43125,71.76874999999998,76.48750000000001,99.5875
美濃,2021,365,51.50667808219177,52.22499999999999,72.34249999999999,76.69249999999998,92.65
美濃,2022,365,48.768085453359404,49.587499999999984,68.00928571428571,72.78,89.39999999999998
美濃,2023,364,51.598770277341686,52.02499999999998,71.30374999999997,74.49687499999997,83.86249999999998
美濃,2024,366,49.63536950299244,49.66249999999999,67.46249999999998,71.96562499999999,91.2285714285714
美濃,2025,365,48.19173842139594,47.962499999999984,66.44249999999998,71.78999999999998,91.19999999999996
鳳山,2018,365,45.475516960208736,45.116666666666674,70.20000000000002,75.0725,100.6875
鳳山,2019,365,48.736110567514665,49.0375,74.0375,79.03999999999999,92.86249999999998
鳳山,2020,363,48.402697428833775,51.27499999999998,72.06749999999998,76.60374999999998,99.16249999999998
鳳山,2021,365,40.88900684931505,40.61249999999998,62.90999999999998,66.26999999999998,77.29999999999998
鳳山,2022,364,39.85687957875456,41.26874999999998,60.94624999999998,64.90687499999997,91.97499999999998
鳳山,2023,365,41.503670906718824,41.58749999999998,61.679999999999986,65.60999999999997,84.64999999999998
鳳山,2024,366,41.87472189695548,42.91428571428568,60.36874999999998,65.07321428571424,87.31249999999997
鳳山,2025,365,42.31567351598171,42.63749999999997,61.22249999999997,66.88499999999996,86.22499999999998
